ID,Titre,Description,Type,Statut,Priorité,Client,Utilisateurs assignés,Date d'échéance,Date de création,Date de mise à jour
683873208513b0586eb81a88,TVA,hjuh,support,résolu,élevée,68384f4f75b992e667a6931a,,30/05/2025,29/05/2025,29/05/2025
683873518513b0586eb81ab1,TVA2,UHUH,support,résolu,moyenne,683858795569176d49da4675,SABIR,21/05/2025,29/05/2025,29/05/2025
683873858513b0586eb81b09,UH,UJHJU,support,résolu,moyenne,683863b36b1660eba925dafe,SABIR,,29/05/2025,29/05/2025
6838738f8513b0586eb81b0b,H'UH,JUHUJ,,ouvert,faible,683858795569176d49da4675,douuae,,29/05/2025,29/05/2025
683873c48513b0586eb81b7e,K,NJLN,,ouvert,critique,68384f4f75b992e667a6931a,SABIR,,29/05/2025,29/05/2025
683873d08513b0586eb81b80,JNJN,JHB,,ouvert,élevée,68384f4f75b992e667a6931a,,,29/05/2025,29/05/2025
683874048513b0586eb81bb8,bgh,bghbg,,ouvert,faible,683873f78513b0586eb81baa,,,29/05/2025,29/05/2025
683874348513b0586eb81c0e, bn b,bjbhj,,ouvert,élevée,6838741d8513b0586eb81be2,,,29/05/2025,29/05/2025
683874e68513b0586eb81d08,jkij,ih,,ouvert,faible,6838746b8513b0586eb81c4d,,,29/05/2025,29/05/2025
683875168513b0586eb81d1c,jij,hi,,en cours,élevée,683858795569176d49da4675,,,29/05/2025,29/05/2025
68387c8c8513b0586eb81d7b,huh,hujo,,ouvert,faible,683873f78513b0586eb81baa,,,29/05/2025,29/05/2025
6838edbe6486961b60f666ef,gbuj,gjug,,ouvert,faible,68384f4f75b992e667a6931a,,,30/05/2025,30/05/2025
6838edd56486961b60f66716,niohy,hyuo,,ouvert,faible,683858795569176d49da4675,,,30/05/2025,30/05/2025
6838ee056486961b60f6672c,ughuh,uhg,,ouvert,élevée,6838746b8513b0586eb81c4d,SABIR; alice,,30/05/2025,30/05/2025
6839bcd2dc26b38999ad9300,huhyuj,hyu9,,ouvert,faible,6838746b8513b0586eb81c4d,douuae,,30/05/2025,30/05/2025
6839bcfddc26b38999ad9327,nuh8,8hy,,fermé,élevée,683858795569176d49da4675,,,30/05/2025,30/05/2025
6839d5c40cc226e700b563ba,huoh,ihyu,,résolu,moyenne,6838741d8513b0586eb81be2,ADIL; SABIR,,30/05/2025,30/05/2025
683abd8a8d89bb056a01c174,fgf,"gf,yu",,fermé,faible,68384f4f75b992e667a6931a,SABIR,,31/05/2025,31/05/2025
683abdaf8d89bb056a01c188,vgyhg,yhg,,ouvert,moyenne,683858795569176d49da4675,,,31/05/2025,31/05/2025
683b1fe41dbba9f377f916eb,nasser,hu,,résolu,élevée,,SABIR,,31/05/2025,31/05/2025
683b20b01dbba9f377f91825,huhyu,yh;,,ouvert,faible,683b20a31dbba9f377f91817,,,31/05/2025,31/05/2025